city,state,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,source,region
Los Angeles,California,2023-09-07,75.3,62.8,68.7,75.3,62.8,68.7,61.1,77.4,0,0,0,0,0,17.2,10,236.8,1013.9,3.5,9.8,281.6,24.3,9,10,2023-09-07T13:31:17Z,2023-09-08T02:11:34Z,0.76,Clear,Clear conditions throughout the day.,clear-day,obs,West
Los Angeles,California,2023-09-08,83.6,64.8,71.7,84.3,64.8,71.8,62.5,74.3,0,0,0,0,0,19.7,10.8,224.8,1015.3,4.2,9.6,268.7,23.2,9,10,2023-09-08T13:31:59Z,2023-09-09T02:10:12Z,0.79,Clear,Clear conditions throughout the day.,clear-day,obs,West
Los Angeles,California,2023-09-09,80,67.7,73.8,80,67.7,73.8,62.4,68.8,0,0,0,0,0,19.5,11,224.3,1014.5,6.6,9.9,233.9,20,8,10,2023-09-09T13:32:40Z,2023-09-10T02:08:49Z,0.82,Clear,Clear conditions throughout the day.,clear-day,obs,West
Los Angeles,California,2023-09-10,85.2,71,76.1,86.1,71,76.3,61.6,61.4,0.012,21,4.17,0,0,15,11.4,219.1,1012.7,23.2,10,236.6,20.4,8,10,2023-09-10T13:33:21Z,2023-09-11T02:07:26Z,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,comb,West
Los Angeles,California,2023-09-11,83,67.9,74.6,84.1,67.9,74.9,62.5,66.7,0,7,0,0,0,10.3,9.2,220.7,1012.2,37.4,9.6,196.5,17.1,6,10,2023-09-11T13:34:02Z,2023-09-12T02:06:03Z,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,fcst,West
Los Angeles,California,2023-09-12,79.1,64.3,71.6,79.1,64.3,71.6,65.6,82,0,0,0,0,0,15,11.4,207.7,1012.1,21.4,10.1,272.8,23.6,9,10,2023-09-12T13:34:43Z,2023-09-13T02:04:39Z,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,fcst,West
Seattle,Washington,2023-09-05,69.4,54.7,61,69.4,54.7,61,48.8,65.4,0,0,0,0,0,5.8,6.7,219.4,1016.9,56.8,9.9,222.4,19.2,8,10,2023-09-05T13:33:10Z,2023-09-06T02:42:10Z,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,West
Seattle,Washington,2023-09-06,74.1,54.2,63.4,74.1,54.2,63.4,50.4,64.3,0,0,0,0,0,8.1,7.5,218.3,1015.2,42.7,9.9,237.5,20.6,8,10,2023-09-06T13:34:31Z,2023-09-07T02:40:10Z,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,West
Seattle,Washington,2023-09-07,68.7,57.9,63,68.7,57.9,63,52.5,69.2,0,0,0,0,0,5.8,5.4,321,1017,79.4,9.9,123.3,10.9,6,10,2023-09-07T13:35:51Z,2023-09-08T02:38:09Z,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,West
Seattle,Washington,2023-09-08,72.9,53.9,62.7,72.9,53.9,62.7,51.3,68.9,0,0,0,0,0,10.3,8.3,326.5,1020,16.5,9.9,233.3,20.2,7,10,2023-09-08T13:37:11Z,2023-09-09T02:36:08Z,0.79,Clear,Clear conditions throughout the day.,clear-day,obs,West
Seattle,Washington,2023-09-09,78.5,53.7,65.6,78.5,53.7,65.6,51.6,62.5,0,0,0,0,0,8.1,7.7,333.2,1019.3,4.7,9.9,227.3,19.7,7,10,2023-09-09T13:38:32Z,2023-09-10T02:34:06Z,0.82,Clear,Clear conditions throughout the day.,clear-day,obs,West
Seattle,Washington,2023-09-10,78,56.1,67,78,56.1,67,53.7,64.3,0,6,0,0,0,12.8,9.2,195.8,1017.5,31.3,10,212.5,18.5,7,10,2023-09-10T13:39:52Z,2023-09-11T02:32:04Z,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,comb,West
Seattle,Washington,2023-09-11,70.1,61.1,64.6,70.1,61.1,64.6,58.1,79.9,0.012,29,4.17,0,0,8.1,5.8,244.6,1018.7,70.9,10.1,105.2,9.2,4,10,2023-09-11T13:41:12Z,2023-09-12T02:30:02Z,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,fcst,West
Seattle,Washington,2023-09-12,70.1,58,63.1,70.1,58,63.1,55.7,77.2,0,41,0,0,0,9.2,6.9,212.6,1017.5,67,10,180.1,15.6,6,10,2023-09-12T13:42:33Z,2023-09-13T02:27:59Z,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,fcst,West
Omaha,Nebraska,2023-09-05,87.7,65.9,78.4,89.3,65.9,79.1,62.9,60.1,0.092,100,8.33,0,0,32.7,20.5,240.8,1005.6,54.5,9.8,181.8,15.7,6,15,2023-09-05T11:54:02Z,2023-09-06T00:50:21Z,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,obs,Midwest
Omaha,Nebraska,2023-09-06,78.9,62,67.4,78.9,62,67.4,51.4,59.5,0,0,0,0,0,33.7,18.3,320.9,1015.8,51.8,5.7,164.5,14.3,7,10,2023-09-06T11:55:02Z,2023-09-07T00:48:41Z,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,obs,Midwest
Omaha,Nebraska,2023-09-07,81.7,50,65.1,80.2,50,64.9,49,60.5,0.008,100,4.17,0,0,8.1,8.9,34.4,1016.5,25.8,7.1,191.8,16.7,7,10,2023-09-07T11:56:02Z,2023-09-08T00:47:00Z,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,obs,Midwest
Omaha,Nebraska,2023-09-08,84,60.9,71.7,82,60.9,71.3,53.8,57.2,0.008,100,8.33,0,0,13.9,6.3,74.3,1018.5,27.4,8.9,210.2,18.1,7,10,2023-09-08T11:57:02Z,2023-09-09T00:45:19Z,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,obs,Midwest
Omaha,Nebraska,2023-09-09,84.8,56.5,70.7,83.2,56.5,70.4,55.5,63.1,0,0,0,0,0,13.9,9.8,212,1020.7,43.5,9.5,158.6,13.7,6,10,2023-09-09T11:58:02Z,2023-09-10T00:43:38Z,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,Midwest
Omaha,Nebraska,2023-09-10,76.8,61.3,68.7,76.8,61.3,68.7,60.3,75.9,0.57,84,29.17,0,0,19.2,13.5,23.9,1021.1,74,9,149.5,12.9,7,10,2023-09-10T11:59:02Z,2023-09-11T00:41:56Z,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,comb,Midwest
Omaha,Nebraska,2023-09-11,72.9,60,65,72.9,60,65,57.7,79.5,0.835,83,33.33,0,0,12.8,10.3,13.3,1021.5,53.2,7.7,171,14.6,6,10,2023-09-11T12:00:02Z,2023-09-12T00:40:14Z,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,fcst,Midwest
Omaha,Nebraska,2023-09-12,74,52.1,63.1,74,52.1,63.1,51.8,69.4,0,7,0,0,0,11.4,6.9,304.9,1020.5,8.8,10.1,247.8,21.5,7,10,2023-09-12T12:01:02Z,2023-09-13T00:38:32Z,0.92,Clear,Clear conditions throughout the day.,clear-day,fcst,Midwest
